"","Year","Police Region","Local Government Area","Incidents Recorded"
"121",2019,"2 Eastern","Strathbogie",447
"122",2019,"2 Eastern","Towong",149
"123",2019,"2 Eastern","Wangaratta",1764
"124",2019,"2 Eastern","Wellington",3274
"125",2019,"2 Eastern","Whitehorse",7272
"126",2019,"2 Eastern","Wodonga",2793
"127",2019,"2 Eastern","Yarra Ranges",6163
"128",2019,"2 Eastern","Total",90397
"129",2019,"3 Southern Metro","Bayside",4016
"130",2019,"3 Southern Metro","Cardinia",5257
"131",2019,"3 Southern Metro","Casey",16646
"132",2019,"3 Southern Metro","Frankston",11037
"133",2019,"3 Southern Metro","Glen Eira",5698
"134",2019,"3 Southern Metro","Greater Dandenong",14695
"135",2019,"3 Southern Metro","Kingston",8921
"136",2019,"3 Southern Metro","Mornington Peninsula",8658
"137",2019,"3 Southern Metro","Port Phillip",9806
"138",2019,"3 Southern Metro","Stonnington",9054
"139",2019,"3 Southern Metro","Total",93788
"140",2019,"4 Western","Ararat",853
"141",2019,"4 Western","Ballarat",8931
"142",2019,"4 Western","Buloke",242
"143",2019,"4 Western","Campaspe",2918
"144",2019,"4 Western","Central Goldfields",892
"145",2019,"4 Western","Colac-Otway",1287
"146",2019,"4 Western","Corangamite",524
"147",2019,"4 Western","Gannawarra",630
"148",2019,"4 Western","Glenelg",1081
"149",2019,"4 Western","Golden Plains",485
"150",2019,"4 Western","Greater Bendigo",8439
"151",2019,"4 Western","Greater Geelong",16494
"152",2019,"4 Western","Hepburn",724
"153",2019,"4 Western","Hindmarsh",229
"154",2019,"4 Western","Horsham",1320
"155",2019,"4 Western","Loddon",373
"156",2019,"4 Western","Macedon Ranges",1744
"157",2019,"4 Western","Mildura",5553
"158",2019,"4 Western","Moorabool",1597
"159",2019,"4 Western","Mount Alexander",911
"160",2019,"4 Western","Moyne",506
"161",2019,"4 Western","Northern Grampians",764
"162",2019,"4 Western","Pyrenees",411
"163",2019,"4 Western","Queenscliffe",105
"164",2019,"4 Western","Southern Grampians",945
"165",2019,"4 Western","Surf Coast",1003
"166",2019,"4 Western","Swan Hill",1872
"167",2019,"4 Western","Warrnambool",2604
"168",2019,"4 Western","West Wimmera",130
"169",2019,"4 Western","Yarriambiack",298
"170",2019,"4 Western","Total",63865
"171",2019,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1357
"172",2019,"Justice Institutions and Immigration Facilities","Total",1357
"173",2019,"Unincorporated Vic","Unincorporated Vic",108
"174",2019,"Unincorporated Vic","Total",108
"175",2018,"1 North West Metro","Banyule",7167
"176",2018,"1 North West Metro","Brimbank",14573
"177",2018,"1 North West Metro","Darebin",11606
"178",2018,"1 North West Metro","Hobsons Bay",4813
"179",2018,"1 North West Metro","Hume",15544
"180",2018,"1 North West Metro","Maribyrnong",6938
"181",2018,"1 North West Metro","Melbourne",26893
"182",2018,"1 North West Metro","Melton",8053
"183",2018,"1 North West Metro","Moonee Valley",6684
"184",2018,"1 North West Metro","Moreland",11611
"185",2018,"1 North West Metro","Nillumbik",1645
"186",2018,"1 North West Metro","Whittlesea",11777
"187",2018,"1 North West Metro","Wyndham",11290
"188",2018,"1 North West Metro","Yarra",11314
"189",2018,"1 North West Metro","Total",149908
"190",2018,"2 Eastern","Alpine",393
"191",2018,"2 Eastern","Bass Coast",1661
"192",2018,"2 Eastern","Baw Baw",3165
"193",2018,"2 Eastern","Benalla",874
"194",2018,"2 Eastern","Boroondara",5603
"195",2018,"2 Eastern","East Gippsland",3171
"196",2018,"2 Eastern","Greater Shepparton",6196
"197",2018,"2 Eastern","Indigo",342
"198",2018,"2 Eastern","Knox",8075
"199",2018,"2 Eastern","Latrobe",9908
"200",2018,"2 Eastern","Manningham",3347
"201",2018,"2 Eastern","Mansfield",333
"202",2018,"2 Eastern","Maroondah",5913
"203",2018,"2 Eastern","Mitchell",2998
"204",2018,"2 Eastern","Moira",1566
"205",2018,"2 Eastern","Monash",8231
"206",2018,"2 Eastern","Murrindindi",571
"207",2018,"2 Eastern","South Gippsland",1023
"208",2018,"2 Eastern","Strathbogie",440
"209",2018,"2 Eastern","Towong",178
"210",2018,"2 Eastern","Wangaratta",1740
"211",2018,"2 Eastern","Wellington",2824
"212",2018,"2 Eastern","Whitehorse",6251
"213",2018,"2 Eastern","Wodonga",2385
"214",2018,"2 Eastern","Yarra Ranges",5541
"215",2018,"2 Eastern","Total",82729
"216",2018,"3 Southern Metro","Bayside",3697
"217",2018,"3 Southern Metro","Cardinia",4571
"218",2018,"3 Southern Metro","Casey",15895
"219",2018,"3 Southern Metro","Frankston",11298
"220",2018,"3 Southern Metro","Glen Eira",4975
"221",2018,"3 Southern Metro","Greater Dandenong",14078
"222",2018,"3 Southern Metro","Kingston",8532
"223",2018,"3 Southern Metro","Mornington Peninsula",8136
"224",2018,"3 Southern Metro","Port Phillip",9958
"225",2018,"3 Southern Metro","Stonnington",8338
"226",2018,"3 Southern Metro","Total",89478
"227",2018,"4 Western","Ararat",900
"228",2018,"4 Western","Ballarat",8054
"229",2018,"4 Western","Buloke",182
"230",2018,"4 Western","Campaspe",2841
"231",2018,"4 Western","Central Goldfields",970
"232",2018,"4 Western","Colac-Otway",1269
"233",2018,"4 Western","Corangamite",539
"234",2018,"4 Western","Gannawarra",519
"235",2018,"4 Western","Glenelg",1030
"236",2018,"4 Western","Golden Plains",509
"237",2018,"4 Western","Greater Bendigo",7734
"238",2018,"4 Western","Greater Geelong",16013
"239",2018,"4 Western","Hepburn",602
"240",2018,"4 Western","Hindmarsh",255
"241",2018,"4 Western","Horsham",1575
"242",2018,"4 Western","Loddon",390
"243",2018,"4 Western","Macedon Ranges",1660
"244",2018,"4 Western","Mildura",5547
"245",2018,"4 Western","Moorabool",1764
"246",2018,"4 Western","Mount Alexander",691
"247",2018,"4 Western","Moyne",428
"248",2018,"4 Western","Northern Grampians",764
"249",2018,"4 Western","Pyrenees",340
"250",2018,"4 Western","Queenscliffe",101
"251",2018,"4 Western","Southern Grampians",1111
"252",2018,"4 Western","Surf Coast",878
"253",2018,"4 Western","Swan Hill",1781
"254",2018,"4 Western","Warrnambool",2907
"255",2018,"4 Western","West Wimmera",128
"256",2018,"4 Western","Yarriambiack",335
"257",2018,"4 Western","Total",61817
"258",2018,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1497
"259",2018,"Justice Institutions and Immigration Facilities","Total",1497
"260",2018,"Unincorporated Vic","Unincorporated Vic",95
"261",2018,"Unincorporated Vic","Total",95
"262",2017,"1 North West Metro","Banyule",7434
"263",2017,"1 North West Metro","Brimbank",13247
"264",2017,"1 North West Metro","Darebin",11445
"265",2017,"1 North West Metro","Hobsons Bay",4908
"266",2017,"1 North West Metro","Hume",15048
"267",2017,"1 North West Metro","Maribyrnong",6466
"268",2017,"1 North West Metro","Melbourne",26518
"269",2017,"1 North West Metro","Melton",8049
"270",2017,"1 North West Metro","Moonee Valley",6668
