"","Year","Police Region","Local Government Area","Incidents Recorded"
"604",2014,"4 Western","Yarriambiack",189
"605",2014,"4 Western","Total",54688
"606",2014,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",719
"607",2014,"Justice Institutions and Immigration Facilities","Total",719
"608",2014,"Unincorporated Vic","Unincorporated Vic",100
"609",2014,"Unincorporated Vic","Total",100
"610",2013,"1 North West Metro","Banyule",6430
"611",2013,"1 North West Metro","Brimbank",15273
"612",2013,"1 North West Metro","Darebin",10018
"613",2013,"1 North West Metro","Hobsons Bay",5446
"614",2013,"1 North West Metro","Hume",12030
"615",2013,"1 North West Metro","Maribyrnong",6956
"616",2013,"1 North West Metro","Melbourne",24624
"617",2013,"1 North West Metro","Melton",6828
"618",2013,"1 North West Metro","Moonee Valley",6248
"619",2013,"1 North West Metro","Moreland",9243
"620",2013,"1 North West Metro","Nillumbik",1600
"621",2013,"1 North West Metro","Whittlesea",9986
"622",2013,"1 North West Metro","Wyndham",9941
"623",2013,"1 North West Metro","Yarra",9204
"624",2013,"1 North West Metro","Total",133827
"625",2013,"2 Eastern","Alpine",363
"626",2013,"2 Eastern","Bass Coast",1970
"627",2013,"2 Eastern","Baw Baw",2215
"628",2013,"2 Eastern","Benalla",854
"629",2013,"2 Eastern","Boroondara",5965
"630",2013,"2 Eastern","East Gippsland",3071
"631",2013,"2 Eastern","Greater Shepparton",5116
"632",2013,"2 Eastern","Indigo",355
"633",2013,"2 Eastern","Knox",6923
"634",2013,"2 Eastern","Latrobe",7618
"635",2013,"2 Eastern","Manningham",3112
"636",2013,"2 Eastern","Mansfield",293
"637",2013,"2 Eastern","Maroondah",5497
"638",2013,"2 Eastern","Mitchell",1991
"639",2013,"2 Eastern","Moira",1177
"640",2013,"2 Eastern","Monash",6825
"641",2013,"2 Eastern","Murrindindi",535
"642",2013,"2 Eastern","South Gippsland",895
"643",2013,"2 Eastern","Strathbogie",373
"644",2013,"2 Eastern","Towong",213
"645",2013,"2 Eastern","Wangaratta",1679
"646",2013,"2 Eastern","Wellington",2798
"647",2013,"2 Eastern","Whitehorse",5801
"648",2013,"2 Eastern","Wodonga",2235
"649",2013,"2 Eastern","Yarra Ranges",5053
"650",2013,"2 Eastern","Total",72927
"651",2013,"3 Southern Metro","Bayside",3489
"652",2013,"3 Southern Metro","Cardinia",4344
"653",2013,"3 Southern Metro","Casey",12056
"654",2013,"3 Southern Metro","Frankston",10782
"655",2013,"3 Southern Metro","Glen Eira",4735
"656",2013,"3 Southern Metro","Greater Dandenong",12486
"657",2013,"3 Southern Metro","Kingston",7329
"658",2013,"3 Southern Metro","Mornington Peninsula",7518
"659",2013,"3 Southern Metro","Port Phillip",8779
"660",2013,"3 Southern Metro","Stonnington",7443
"661",2013,"3 Southern Metro","Total",78961
"662",2013,"4 Western","Ararat",874
"663",2013,"4 Western","Ballarat",8108
"664",2013,"4 Western","Buloke",187
"665",2013,"4 Western","Campaspe",2100
"666",2013,"4 Western","Central Goldfields",811
"667",2013,"4 Western","Colac-Otway",1021
"668",2013,"4 Western","Corangamite",456
"669",2013,"4 Western","Gannawarra",413
"670",2013,"4 Western","Glenelg",1184
"671",2013,"4 Western","Golden Plains",402
"672",2013,"4 Western","Greater Bendigo",6053
"673",2013,"4 Western","Greater Geelong",13553
"674",2013,"4 Western","Hepburn",524
"675",2013,"4 Western","Hindmarsh",184
"676",2013,"4 Western","Horsham",1347
"677",2013,"4 Western","Loddon",264
"678",2013,"4 Western","Macedon Ranges",1389
"679",2013,"4 Western","Mildura",4535
"680",2013,"4 Western","Moorabool",1502
"681",2013,"4 Western","Mount Alexander",624
"682",2013,"4 Western","Moyne",435
"683",2013,"4 Western","Northern Grampians",683
"684",2013,"4 Western","Pyrenees",316
"685",2013,"4 Western","Queenscliffe",73
"686",2013,"4 Western","Southern Grampians",883
"687",2013,"4 Western","Surf Coast",983
"688",2013,"4 Western","Swan Hill",1437
"689",2013,"4 Western","Warrnambool",1910
"690",2013,"4 Western","West Wimmera",121
"691",2013,"4 Western","Yarriambiack",215
"692",2013,"4 Western","Total",52587
"693",2013,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1041
"694",2013,"Justice Institutions and Immigration Facilities","Total",1041
"695",2013,"Unincorporated Vic","Unincorporated Vic",66
"696",2013,"Unincorporated Vic","Total",66
"697",2012,"1 North West Metro","Banyule",5815
"698",2012,"1 North West Metro","Brimbank",15481
"699",2012,"1 North West Metro","Darebin",9672
"700",2012,"1 North West Metro","Hobsons Bay",5850
"701",2012,"1 North West Metro","Hume",11988
"702",2012,"1 North West Metro","Maribyrnong",7475
"703",2012,"1 North West Metro","Melbourne",24746
"704",2012,"1 North West Metro","Melton",6926
"705",2012,"1 North West Metro","Moonee Valley",6962
"706",2012,"1 North West Metro","Moreland",9813
"707",2012,"1 North West Metro","Nillumbik",1454
"708",2012,"1 North West Metro","Whittlesea",9849
"709",2012,"1 North West Metro","Wyndham",11066
"710",2012,"1 North West Metro","Yarra",9199
"711",2012,"1 North West Metro","Total",136296
"712",2012,"2 Eastern","Alpine",318
"713",2012,"2 Eastern","Bass Coast",1848
"714",2012,"2 Eastern","Baw Baw",2133
"715",2012,"2 Eastern","Benalla",728
"716",2012,"2 Eastern","Boroondara",5918
"717",2012,"2 Eastern","East Gippsland",2667
"718",2012,"2 Eastern","Greater Shepparton",4824
"719",2012,"2 Eastern","Indigo",383
"720",2012,"2 Eastern","Knox",6852
"721",2012,"2 Eastern","Latrobe",7456
"722",2012,"2 Eastern","Manningham",2924
"723",2012,"2 Eastern","Mansfield",254
"724",2012,"2 Eastern","Maroondah",5219
"725",2012,"2 Eastern","Mitchell",1961
"726",2012,"2 Eastern","Moira",1058
"727",2012,"2 Eastern","Monash",6526
"728",2012,"2 Eastern","Murrindindi",457
"729",2012,"2 Eastern","South Gippsland",935
"730",2012,"2 Eastern","Strathbogie",379
"731",2012,"2 Eastern","Towong",196
"732",2012,"2 Eastern","Wangaratta",1737
"733",2012,"2 Eastern","Wellington",2862
"734",2012,"2 Eastern","Whitehorse",5583
"735",2012,"2 Eastern","Wodonga",2603
"736",2012,"2 Eastern","Yarra Ranges",5216
"737",2012,"2 Eastern","Total",71037
"738",2012,"3 Southern Metro","Bayside",3504
"739",2012,"3 Southern Metro","Cardinia",3819
"740",2012,"3 Southern Metro","Casey",11799
"741",2012,"3 Southern Metro","Frankston",10538
"742",2012,"3 Southern Metro","Glen Eira",4619
"743",2012,"3 Southern Metro","Greater Dandenong",11782
"744",2012,"3 Southern Metro","Kingston",7481
"745",2012,"3 Southern Metro","Mornington Peninsula",7355
"746",2012,"3 Southern Metro","Port Phillip",8837
"747",2012,"3 Southern Metro","Stonnington",7291
"748",2012,"3 Southern Metro","Total",77025
"749",2012,"4 Western","Ararat",934
"750",2012,"4 Western","Ballarat",8179
"751",2012,"4 Western","Buloke",236
"752",2012,"4 Western","Campaspe",2233
"753",2012,"4 Western","Central Goldfields",771
"754",2012,"4 Western","Colac-Otway",1183
"755",2012,"4 Western","Corangamite",543
"756",2012,"4 Western","Gannawarra",423
"757",2012,"4 Western","Glenelg",1093
"758",2012,"4 Western","Golden Plains",376
"759",2012,"4 Western","Greater Bendigo",5648
"760",2012,"4 Western","Greater Geelong",13449
"761",2012,"4 Western","Hepburn",555
"762",2012,"4 Western","Hindmarsh",199
"763",2012,"4 Western","Horsham",1416
"764",2012,"4 Western","Loddon",333
"765",2012,"4 Western","Macedon Ranges",1319
"766",2012,"4 Western","Mildura",4595
"767",2012,"4 Western","Moorabool",1352
"768",2012,"4 Western","Mount Alexander",634
"769",2012,"4 Western","Moyne",537
"770",2012,"4 Western","Northern Grampians",654
"771",2012,"4 Western","Pyrenees",248
"772",2012,"4 Western","Queenscliffe",111
"773",2012,"4 Western","Southern Grampians",800
"774",2012,"4 Western","Surf Coast",1175
"775",2012,"4 Western","Swan Hill",1381
"776",2012,"4 Western","Warrnambool",1827
"777",2012,"4 Western","West Wimmera",133
"778",2012,"4 Western","Yarriambiack",274
"779",2012,"4 Western","Total",52611
"780",2012,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",832
"781",2012,"Justice Institutions and Immigration Facilities","Total",832
"782",2012,"Unincorporated Vic","Unincorporated Vic",110
"783",2012,"Unincorporated Vic","Total",110
"784",2011,"1 North West Metro","Banyule",5603
"785",2011,"1 North West Metro","Brimbank",14296
"786",2011,"1 North West Metro","Darebin",9583
"787",2011,"1 North West Metro","Hobsons Bay",4743
"788",2011,"1 North West Metro","Hume",11012
"789",2011,"1 North West Metro","Maribyrnong",6981
"790",2011,"1 North West Metro","Melbourne",23656
"791",2011,"1 North West Metro","Melton",6065
"792",2011,"1 North West Metro","Moonee Valley",6029
"793",2011,"1 North West Metro","Moreland",8895
"794",2011,"1 North West Metro","Nillumbik",1458
"795",2011,"1 North West Metro","Whittlesea",8758
"796",2011,"1 North West Metro","Wyndham",9639
"797",2011,"1 North West Metro","Yarra",8718
"798",2011,"1 North West Metro","Total",125436
"799",2011,"2 Eastern","Alpine",278
"800",2011,"2 Eastern","Bass Coast",1601
"801",2011,"2 Eastern","Baw Baw",1732
"802",2011,"2 Eastern","Benalla",760
"803",2011,"2 Eastern","Boroondara",5265
"804",2011,"2 Eastern","East Gippsland",2499
"805",2011,"2 Eastern","Greater Shepparton",5002
"806",2011,"2 Eastern","Indigo",370
"807",2011,"2 Eastern","Knox",5973
"808",2011,"2 Eastern","Latrobe",6785
"809",2011,"2 Eastern","Manningham",2804
"810",2011,"2 Eastern","Mansfield",249
"811",2011,"2 Eastern","Maroondah",4779
"812",2011,"2 Eastern","Mitchell",1816
"813",2011,"2 Eastern","Moira",1176
"814",2011,"2 Eastern","Monash",6475
"815",2011,"2 Eastern","Murrindindi",428
"816",2011,"2 Eastern","South Gippsland",857
"817",2011,"2 Eastern","Strathbogie",347
"818",2011,"2 Eastern","Towong",161
"819",2011,"2 Eastern","Wangaratta",1690
"820",2011,"2 Eastern","Wellington",2309
"821",2011,"2 Eastern","Whitehorse",5212
"822",2011,"2 Eastern","Wodonga",2383
"823",2011,"2 Eastern","Yarra Ranges",4782
"824",2011,"2 Eastern","Total",65733
"825",2011,"3 Southern Metro","Bayside",3004
"826",2011,"3 Southern Metro","Cardinia",3346
"827",2011,"3 Southern Metro","Casey",10944
"828",2011,"3 Southern Metro","Frankston",9245
"829",2011,"3 Southern Metro","Glen Eira",4402
"830",2011,"3 Southern Metro","Greater Dandenong",11002
"831",2011,"3 Southern Metro","Kingston",6709
"832",2011,"3 Southern Metro","Mornington Peninsula",6987
"833",2011,"3 Southern Metro","Port Phillip",8254
"834",2011,"3 Southern Metro","Stonnington",6806
"835",2011,"3 Southern Metro","Total",70699
"836",2011,"4 Western","Ararat",802
"837",2011,"4 Western","Ballarat",8179
"838",2011,"4 Western","Buloke",221
"839",2011,"4 Western","Campaspe",1895
"840",2011,"4 Western","Central Goldfields",677
"841",2011,"4 Western","Colac-Otway",1090
"842",2011,"4 Western","Corangamite",522
"843",2011,"4 Western","Gannawarra",444
"844",2011,"4 Western","Glenelg",1235
"845",2011,"4 Western","Golden Plains",296
"846",2011,"4 Western","Greater Bendigo",5049
"847",2011,"4 Western","Greater Geelong",12494
"848",2011,"4 Western","Hepburn",503
"849",2011,"4 Western","Hindmarsh",172
"850",2011,"4 Western","Horsham",1231
"851",2011,"4 Western","Loddon",331
"852",2011,"4 Western","Macedon Ranges",1167
"853",2011,"4 Western","Mildura",4478
"854",2011,"4 Western","Moorabool",1094
"855",2011,"4 Western","Mount Alexander",726
"856",2011,"4 Western","Moyne",441
"857",2011,"4 Western","Northern Grampians",787
"858",2011,"4 Western","Pyrenees",209
"859",2011,"4 Western","Queenscliffe",92
"860",2011,"4 Western","Southern Grampians",859
"861",2011,"4 Western","Surf Coast",999
"862",2011,"4 Western","Swan Hill",1333
"863",2011,"4 Western","Warrnambool",1827
"864",2011,"4 Western","West Wimmera",100
"865",2011,"4 Western","Yarriambiack",285
"866",2011,"4 Western","Total",49538
"867",2011,"Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",720
"868",2011,"Justice Institutions and Immigration Facilities","Total",720
"869",2011,"Unincorporated Vic","Unincorporated Vic",124
"870",2011,"Unincorporated Vic","Total",124
